Global Volcanism Program - Volcanoes of the World 4.6.7,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,VEI,Start Year,Start Month,Evidence Method (dating),End Year,Latitude,Longitude
282090,Kirishimayama,22257,Confirmed Eruption,unknown,2018,3,Historical Observations,2018,31.934,130.862
352090,Sangay,22259,Confirmed Eruption,unknown,2018,2,Historical Observations,2018,-2.005,-78.341
267020,Karangetang,22256,Confirmed Eruption,unknown,2018,2,Historical Observations,2018,2.781,125.407
283120,Kusatsu-Shiranesan,22258,Confirmed Eruption,unknown,2018,1,Historical Observations,2018,36.618,138.528
343100,San Miguel,22251,Confirmed Eruption,unknown,2018,1,Historical Observations,2018,13.434,-88.269
273030,Mayon,22250,Confirmed Eruption,unknown,2018,1,Historical Observations,2018,13.257,123.685
251002,Kadovar,22246,Confirmed Eruption,unknown,2018,1,Historical Observations,2018,-3.608,144.588
272020,Kanlaon,22249,Confirmed Eruption,unknown,2017,12,Historical Observations,2017,10.412,123.132
264020,Agung,22241,Confirmed Eruption,unknown,2017,11,Historical Observations,2018,-8.343,115.508
261230,Dempo,22248,Confirmed Eruption,1,2017,11,Historical Observations,2017,-4.016,103.121
256010,Tinakula,22239,Confirmed Eruption,3,2017,10,Historical Observations,2017,-10.386,165.804
282090,Kirishimayama,22242,Confirmed Eruption,unknown,2017,10,Historical Observations,2017,31.934,130.862
257030,Ambae,22240,Confirmed Eruption,3,2017,9,Historical Observations,2018,-15.4,167.83
353010,Fernandina,22245,Confirmed Eruption,unknown,2017,9,Historical Observations,2017,-0.37,-91.55
344020,San Cristobal,22252,Confirmed Eruption,unknown,2017,8,Historical Observations,2017,12.702,-87.004
352090,Sangay,22231,Confirmed Eruption,unknown,2017,7,Historical Observations,2017,-2.005,-78.341
264050,Sangeang Api,22228,Confirmed Eruption,unknown,2017,7,Historical Observations,2017,-8.2,119.07
233020,"Fournaise, Piton de la",22224,Confirmed Eruption,unknown,2017,7,Historical Observations,2017,-21.244,55.708
252120,Ulawun,22225,Confirmed Eruption,1,2017,6,Historical Observations,2017,-5.05,151.33
273010,Bulusan,22229,Confirmed Eruption,unknown,2017,6,Historical Observations,2017,12.769,124.056
261140,Marapi,22226,Confirmed Eruption,unknown,2017,6,Historical Observations,2017,-0.38,100.474
300130,Karymsky,22230,Confirmed Eruption,unknown,2017,6,Historical Observations,2018,54.049,159.443
357090,Copahue,22232,Confirmed Eruption,unknown,2017,6,Historical Observations,2017,-37.856,-71.183
345020,Rincon de la Vieja,22208,Confirmed Eruption,unknown,2017,5,Historical Observations,2018,10.83,-85.324
267020,Karangetang,22212,Uncertain Eruption,unknown,2017,5,Historical Observations,2017,2.781,125.407
263200,Dieng Volcanic Complex,22227,Confirmed Eruption,unknown,2017,4,Historical Observations,2017,-7.2,109.879
284096,Nishinoshima,22207,Confirmed Eruption,2,2017,4,Historical Observations,2017,27.247,140.874
345040,Poas,22209,Confirmed Eruption,unknown,2017,4,Historical Observations,2017,10.2,-84.233
360160,Kick 'em Jenny,22260,Confirmed Eruption,0,2017,3,Hydrophonic,2017,12.3,-61.64
282080,Aira,22203,Confirmed Eruption,1,2017,3,Historical Observations,2018,31.593,130.657
300010,Kambalny,22198,Confirmed Eruption,3,2017,3,Historical Observations,2017,51.306,156.875
264100,Ebulobo,22211,Uncertain Eruption,unknown,2017,3,Historical Observations,2017,-8.82,121.18
262000,Krakatau,22188,Confirmed Eruption,unknown,2017,2,Historical Observations,2017,-6.102,105.423
233020,"Fournaise, Piton de la",22184,Confirmed Eruption,unknown,2017,1,Historical Observations,2017,-21.244,55.708
243030,Unnamed,22185,Confirmed Eruption,unknown,2017,1,Historical Observations,2017,-20.852,-175.55
260010,Barren Island,22187,Confirmed Eruption,2,2017,1,Historical Observations,2017,12.278,93.858
343100,San Miguel,22192,Confirmed Eruption,unknown,2017,1,Historical Observations,2017,13.434,-88.269
311300,Bogoslof,22182,Confirmed Eruption,3,2016,12,Historical Observations,2017,53.93,-168.03
290260,Chirinkotan,22175,Confirmed Eruption,3,2016,11,Historical Observations,2017,48.98,153.48
223020,Nyamuragira,22202,Confirmed Eruption,0,2016,11,Historical Observations,2017,-1.408,29.2
300120,Zhupanovsky,22177,Confirmed Eruption,2,2016,11,Historical Observations,2016,53.589,159.15
261170,Kerinci,22172,Confirmed Eruption,1,2016,11,Historical Observations,2016,-1.697,101.264
354006,Sabancaya,22158,Confirmed Eruption,3,2016,11,Historical Observations,2018,-15.787,-71.857
290380,Ebeko,22176,Confirmed Eruption,2,2016,10,Historical Observations,2018,50.686,156.014
252120,Ulawun,22171,Confirmed Eruption,1,2016,10,Historical Observations,2016,-5.05,151.33
282110,Asosan,22174,Confirmed Eruption,3,2016,10,Historical Observations,2016,32.884,131.104
300130,Karymsky,22178,Confirmed Eruption,2,2016,10,Historical Observations,2016,54.049,159.443
241040,White Island,22147,Confirmed Eruption,1,2016,9,Historical Observations,2016,-37.52,177.18
354020,Ubinas,22181,Confirmed Eruption,2,2016,9,Historical Observations,2017,-16.355,-70.903
233020,"Fournaise, Piton de la",22145,Confirmed Eruption,0,2016,9,Historical Observations,2016,-21.244,55.708
268060,Gamalama,22150,Confirmed Eruption,1,2016,8,Historical Observations,2016,0.8,127.33
264030,Rinjani,22149,Confirmed Eruption,2,2016,8,Historical Observations,2016,-8.42,116.47
290360,Chikurachki,22153,Confirmed Eruption,2,2016,7,Historical Observations,2016,50.324,155.461
343100,San Miguel,22154,Confirmed Eruption,1,2016,6,Historical Observations,2016,13.434,-88.269
273010,Bulusan,22151,Confirmed Eruption,2,2016,6,Historical Observations,2017,12.769,124.056
345040,Poas,22156,Confirmed Eruption,1,2016,6,Historical Observations,2016,10.2,-84.233
233020,"Fournaise, Piton de la",22144,Confirmed Eruption,0,2016,5,Historical Observations,2016,-21.244,55.708
241040,White Island,22121,Confirmed Eruption,1,2016,4,Historical Observations,2016,-37.52,177.18
390080,Bristol Island,22133,Confirmed Eruption,1,2016,4,Historical Observations,2016,-59.017,-26.533
344020,San Cristobal,22130,Confirmed Eruption,2,2016,4,Historical Observations,2016,12.702,-87.004
311240,Cleveland,22128,Confirmed Eruption,2,2016,4,Historical Observations,2018,52.825,-169.944
252010,Langila,22123,Confirmed Eruption,2,2016,4,Historical Observations,2018,-5.525,148.42
261170,Kerinci,22125,Confirmed Eruption,2,2016,3,Historical Observations,2016,-1.697,101.264
390130,Zavodovski,22159,Confirmed Eruption,1,2016,3,Historical Observations,2016,-56.3,-27.57
290360,Chikurachki,22127,Confirmed Eruption,2,2016,3,Historical Observations,2016,50.324,155.461
312030,Pavlof,22129,Confirmed Eruption,2,2016,3,Historical Observations,2016,55.417,-161.894
352090,Sangay,22237,Confirmed Eruption,unknown,2016,3,Historical Observations,2016,-2.005,-78.341
273010,Bulusan,22114,Confirmed Eruption,2,2016,2,Historical Observations,2016,12.769,124.056
343100,San Miguel,22117,Confirmed Eruption,1,2016,1,Historical Observations,2016,13.434,-88.269
357070,"Chillan, Nevados de",22119,Confirmed Eruption,2,2016,1,Historical Observations,2018,-36.868,-71.378
266030,Soputan,22105,Confirmed Eruption,3,2016,1,Historical Observations,2016,1.112,124.737
344090,Momotombo,22107,Confirmed Eruption,2,2015,12,Historical Observations,2016,12.423,-86.539
272020,Kanlaon,22106,Confirmed Eruption,2,2015,11,Historical Observations,2016,10.412,123.132
261140,Marapi,22111,Confirmed Eruption,1,2015,11,Historical Observations,2015,-0.38,100.474
263310,Tengger Caldera,22103,Confirmed Eruption,2,2015,11,Historical Observations,2016,-7.942,112.95
355100,Lascar,22110,Confirmed Eruption,2,2015,10,Historical Observations,2017,-23.37,-67.73
264030,Rinjani,22104,Confirmed Eruption,2,2015,10,Historical Observations,2015,-8.42,116.47
344100,Masaya,22108,Confirmed Eruption,1,2015,10,Historical Observations,2018,11.984,-86.161
290390,Alaid,21096,Confirmed Eruption,1,2015,9,Historical Observations,2016,50.861,155.565
344040,Telica,21097,Confirmed Eruption,2,2015,9,Historical Observations,2016,12.606,-86.84
357090,Copahue,21098,Confirmed Eruption,2,2015,9,Historical Observations,2016,-37.856,-71.183
266100,Lokon-Empung,21093,Confirmed Eruption,1,2015,8,Historical Observations,2015,1.358,124.792
300260,Klyuchevskoy,21095,Confirmed Eruption,3,2015,8,Historical Observations,2018,56.056,160.642
390090,Saunders,21099,Confirmed Eruption,0,2015,8,Historical Observations,2015,-57.8,-26.483
352050,Cotopaxi,21088,Confirmed Eruption,2,2015,8,Historical Observations,2016,-0.677,-78.436
343100,San Miguel,22233,Confirmed Eruption,1,2015,8,Historical Observations,2015,13.434,-88.269
360160,Kick 'em Jenny,21090,Confirmed Eruption,0,2015,7,Historical Observations,2015,12.3,-61.64
268060,Gamalama,21087,Confirmed Eruption,2,2015,7,Historical Observations,2015,0.8,127.33
264270,Sirung,21086,Confirmed Eruption,1,2015,7,Historical Observations,2015,-8.508,124.13
283020,Hakoneyama,21080,Confirmed Eruption,1,2015,6,Historical Observations,2015,35.233,139.021
354006,Sabancaya,21089,Confirmed Eruption,1,2015,6,Historical Observations,2015,-15.787,-71.857
263170,Cereme,21079,Uncertain Eruption,unknown,2015,6,Historical Observations,2015,-6.892,108.4
283110,Asamayama,21081,Confirmed Eruption,1,2015,6,Historical Observations,2015,36.406,138.523
345020,Rincon de la Vieja,22132,Confirmed Eruption,1,2015,6,Historical Observations,2016,10.83,-85.324
342110,Pacaya,22157,Confirmed Eruption,1,2015,6,Historical Observations,2018,14.382,-90.601
344020,San Cristobal,21083,Confirmed Eruption,2,2015,6,Historical Observations,2015,12.702,-87.004
282050,Kuchinoerabujima,21073,Confirmed Eruption,3,2015,5,Historical Observations,2015,30.443,130.217
353020,Wolf,21075,Confirmed Eruption,4,2015,5,Historical Observations,2015,0.02,-91.35
266100,Lokon-Empung,21071,Confirmed Eruption,1,2015,5,Historical Observations,2015,1.358,124.792
344040,Telica,21074,Confirmed Eruption,2,2015,5,Historical Observations,2015,12.606,-86.84
273010,Bulusan,21072,Confirmed Eruption,2,2015,5,Historical Observations,2015,12.769,124.056
331021,Axial Seamount,21092,Confirmed Eruption,0,2015,4,Seismicity,2015,45.95,-130
358020,Calbuco,21076,Confirmed Eruption,4,2015,4,Historical Observations,2015,-41.33,-72.618
