Number,Name,Country,Region,Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Tectonic Setting
210010,West Eifel Volcanic Field,Germany,Mediterranean and Western Asia,Maar ,Eruption Dated,8300 BCE,50.17,6.85,600,Rift Zone / Continental Crust (>25 km)
210020,Chaine des Puys,France,Mediterranean and Western Asia,Lava dome ,Eruption Dated,4040 BCE,45.775,2.97,1464,Rift Zone / Continental Crust (>25 km)
210030,Olot Volcanic Field,Spain,Mediterranean and Western Asia,Pyroclastic cone ,Evidence Credible,Unknown,42.17,2.53,893,Intraplate / Continental Crust (>25 km)
210040,Calatrava Volcanic Field,Spain,Mediterranean and Western Asia,Pyroclastic cone ,Eruption Dated,3600 BCE,38.87,-4.02,1117,Intraplate / Continental Crust (>25 km)
211001,Larderello,Italy,Mediterranean and Western Asia,Explosion crater ,Eruption Observed,1282 CE,43.25,10.87,500,Subduction Zone / Continental Crust (>25 km)
211003,Vulsini,Italy,Mediterranean and Western Asia,Caldera,Eruption Observed,104 BCE,42.6,11.93,800,Subduction Zone / Continental Crust (>25 km)
211004,Colli Alban,Italy,Mediterranean and Western Asia,Caldera,Evidence Uncertain,Unknown,41.73,12.7,949,Subduction Zone / Continental Crust (>25 km)
211010,Campi Flegrei,Italy,Mediterranean and Western Asia,Caldera,Eruption Observed,1538 CE,40.827,14.139,458,Subduction Zone / Continental Crust (>25 km)
211020,Vesuvius,Italy,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1944 CE,40.821,14.426,1281,Subduction Zone / Continental Crust (>25 km)
211030,Ischia,Italy,Mediterranean and Western Asia,Complex,Eruption Observed,1302 CE,40.73,13.897,789,Subduction Zone / Continental Crust (>25 km)
211031,Palinuro,Italy,Mediterranean and Western Asia,Submarine,Eruption Dated,8040 BCE,39.48,14.83,-70,Subduction Zone / Continental Crust (>25 km)
211040,Stromboli,Italy,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,2016 CE,38.789,15.213,924,Subduction Zone / Continental Crust (>25 km)
211041,Panarea,Italy,Mediterranean and Western Asia,Stratovolcano,Evidence Uncertain,Unknown,38.638,15.064,399,Subduction Zone / Continental Crust (>25 km)
211042,Lipari,Italy,Mediterranean and Western Asia,Stratovolcano  ,Eruption Dated,1230 CE,38.49,14.933,590,Subduction Zone / Continental Crust (>25 km)
211050,Vulcano,Italy,Mediterranean and Western Asia,Stratovolcano  ,Eruption Observed,1890 CE,38.404,14.962,500,Subduction Zone / Continental Crust (>25 km)
211060,Etna,Italy,Mediterranean and Western Asia,Stratovolcano  ,Eruption Observed,2016 CE,37.734,15.004,3330,Subduction Zone / Continental Crust (>25 km)
211070,Campi Flegrei Mar Sicilia,Italy,Mediterranean and Western Asia,Submarine,Eruption Observed,1867 CE,37.1,12.7,-8,Rift Zone / Continental Crust (>25 km)
211071,Pantelleria,Italy,Mediterranean and Western Asia,Shield,Eruption Observed,1891 CE,36.77,12.02,836,Rift Zone / Continental Crust (>25 km)
211080,Marsili,Italy,Mediterranean and Western Asia,Submarine,Eruption Dated,1050 BCE,39.284,14.399,-779,
211800,Amiata,Italy,Mediterranean and Western Asia,Lava dome ,Unrest / Pleistocene,Unknown,42.9,11.63,1738,Subduction Zone / Continental Crust (>25 km)
212020,Methana,Greece,Mediterranean and Western Asia,Lava dome ,Eruption Observed,258 BCE,37.615,23.336,760,Subduction Zone / Continental Crust (>25 km)
212030,Milos,Greece,Mediterranean and Western Asia,Stratovolcano  ,Eruption Dated,140 CE,36.699,24.439,751,Subduction Zone / Continental Crust (>25 km)
212040,Santorini,Greece,Mediterranean and Western Asia,Shield ,Eruption Observed,1950 CE,36.404,25.396,367,Subduction Zone / Continental Crust (>25 km)
212050,Nisyros,Greece,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1888 CE,36.586,27.16,698,Subduction Zone / Continental Crust (>25 km)
212051,Yali,Greece,Mediterranean and Western Asia,Lava dome ,Evidence Credible,Unknown,36.671,27.14,180,Subduction Zone / Continental Crust (>25 km)
212805,Kos,Greece,Mediterranean and Western Asia,Caldera ,Unrest / Pleistocene,Unknown,36.852,27.251,430,Subduction Zone / Continental Crust (>25 km)
213000,Kula,Turkey,Mediterranean and Western Asia,Pyroclastic cone ,Evidence Credible,Unknown,38.58,28.52,750,Intraplate / Continental Crust (>25 km)
213001,Karapinar Field,Turkey,Mediterranean and Western Asia,Pyroclastic cone ,Evidence Credible,Unknown,37.67,33.65,1302,Intraplate / Continental Crust (>25 km)
213002,Hasan Dagi,Turkey,Mediterranean and Western Asia,Stratovolcano,Evidence Credible,Unknown,38.13,34.17,3253,Intraplate / Continental Crust (>25 km)
213003,Gollu Dag,Turkey,Mediterranean and Western Asia,Lava dome,Evidence Uncertain,Unknown,38.25,34.57,2143,Intraplate / Continental Crust (>25 km)
213004,Acigol-Nevsehir,Turkey,Mediterranean and Western Asia,Caldera,Eruption Dated,2080 BCE,38.537,34.621,1683,Intraplate / Continental Crust (>25 km)
213010,Erciyes Dagi,Turkey,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,6880 BCE,38.531,35.447,3864,Intraplate / Continental Crust (>25 km)
213011,Karaca Dag,Turkey,Mediterranean and Western Asia,Shield,Evidence Credible,Unknown,37.67,39.83,1957,Intraplate / Continental Crust (>25 km)
213020,Nemrut Dagi,Turkey,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1650 CE,38.654,42.229,2948,Intraplate / Continental Crust (>25 km)
213030,Tenduruk Dagi,Turkey,Mediterranean and Western Asia,Shield,Eruption Observed,1855 CE,39.356,43.874,3514,Intraplate / Continental Crust (>25 km)
213040,Ararat,Turkey,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1840 CE,39.7,44.3,5165,Intraplate / Continental Crust (>25 km)
214010,Elbrus,Russia,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,50 CE,43.351,42.442,5642,Intraplate / Continental Crust (>25 km)
214020,Kazbek,Georgia,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,750 BCE,42.7,44.5,5050,Intraplate / Continental Crust (>25 km)
214050,Samsari Volcanic Center,Georgia,Mediterranean and Western Asia,Lava cone ,Evidence Uncertain,Unknown,41.542,43.7,3290,Intraplate / Continental Crust (>25 km)
214060,Aragats,Armenia,Mediterranean and Western Asia,Stratovolcano,Evidence Credible,Unknown,40.53,44.2,4095,Intraplate / Continental Crust (>25 km)
214070,Ghegam Ridge,Armenia,Mediterranean and Western Asia,Volcanic field,Eruption Dated,1900 BCE,40.275,44.75,3597,Intraplate / Continental Crust (>25 km)
214080,Dar-Alages,Armenia,Mediterranean and Western Asia,Volcanic field ,Eruption Dated,2000 BCE,39.704,45.551,1637,Intraplate / Continental Crust (>25 km)
214090,Porak,Armenia-Azerbaijan,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,778 BCE,40.028,45.74,3029,Intraplate / Continental Crust (>25 km)
214100,Tskhouk-Karckar,Armenia-Azerbaijan,Mediterranean and Western Asia,Pyroclastic cone ,Eruption Dated,3000 BCE,39.73,46.02,3000,Intraplate / Continental Crust (>25 km)
221010,"Tair, Jebel at",Yemen,Africa and Red Sea,Stratovolcano,Eruption Observed,2008 CE,15.55,41.83,244,Rift Zone / Oceanic Crust (< 15 km)
221020,Zubair Group,Yemen,Africa and Red Sea,Shield,Eruption Observed,2013 CE,15.05,42.18,191,Rift Zone / Oceanic Crust (< 15 km)
221021,Zukur,Yemen,Africa and Red Sea,Shield,Evidence Credible,Unknown,14.02,42.75,624,Rift Zone / Oceanic Crust (< 15 km)
221022,Hanish,Yemen,Africa and Red Sea,Shield,Evidence Credible,Unknown,13.72,42.73,422,Rift Zone / Oceanic Crust (< 15 km)
221030,Jalua,Eritrea,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,15.042,39.82,713,Rift Zone / Intermediate Crust (15-25 km)
221040,Alid,Eritrea,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,14.88,39.92,904,Rift Zone / Intermediate Crust (15-25 km)
221041,Dallol,Ethiopia,Africa and Red Sea,Explosion crater ,Eruption Observed,2011 CE,14.242,40.3,-48,Rift Zone / Intermediate Crust (15-25 km)
221050,Gada Ale,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,13.975,40.408,287,Rift Zone / Intermediate Crust (15-25 km)
221060,Alu-Dalafilla,Ethiopia,Africa and Red Sea,Fissure vent ,Eruption Observed,2008 CE,13.793,40.553,578,Rift Zone / Intermediate Crust (15-25 km)
221071,Bora Ale,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,13.725,40.6,668,Rift Zone / Intermediate Crust (15-25 km)
